"Adverse Events Category","AE/Supra-ordinate Term","Select AE","Grade","Description"
"CARDIAC ARRHYTHMIA","Vasovagal episode",,3,"Present with loss of consciousness"
"CARDIAC ARRHYTHMIA","Vasovagal episode",,4,"Life-threatening consequences"
"CARDIAC ARRHYTHMIA","Vasovagal episode",,5,"Death"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Bigeminy",1,"Asymptomatic, no intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Bigeminy",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Bigeminy",3,"Symptomatic and incompletely controlled medically or controlled with device (e.g., defibrillator)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Bigeminy",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Bigeminy",5,"Death"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Idioventricular rhythm",1,"Asymptomatic, no intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Idioventricular rhythm",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Idioventricular rhythm",3,"Symptomatic and incompletely controlled medically or controlled with device (e.g., defibrillator)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Idioventricular rhythm",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Idioventricular rhythm",5,"Death"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","PVCs",1,"Asymptomatic, no intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","PVCs",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","PVCs",3,"Symptomatic and incompletely controlled medically or controlled with device (e.g., defibrillator)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","PVCs",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","PVCs",5,"Death"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Torsade de pointes",1,"Asymptomatic, no intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Torsade de pointes",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Torsade de pointes",3,"Symptomatic and incompletely controlled medically or controlled with device (e.g., defibrillator)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Torsade de pointes",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Torsade de pointes",5,"Death"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Trigeminy",1,"Asymptomatic, no intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Trigeminy",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Trigeminy",3,"Symptomatic and incompletely controlled medically or controlled with device (e.g., defibrillator)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Trigeminy",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Trigeminy",5,"Death"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular arrhythmia NOS",1,"Asymptomatic, no intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular arrhythmia NOS",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular arrhythmia NOS",3,"Symptomatic and incompletely controlled medically or controlled with device (e.g., defibrillator)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular arrhythmia NOS",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular arrhythmia NOS",5,"Death"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular fibrillation",1,"Asymptomatic, no intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular fibrillation",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular fibrillation",3,"Symptomatic and incompletely controlled medically or controlled with device (e.g., defibrillator)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular fibrillation",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular fibrillation",5,"Death"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular flutter",1,"Asymptomatic, no intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular flutter",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular flutter",3,"Symptomatic and incompletely controlled medically or controlled with device (e.g., defibrillator)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular flutter",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular flutter",5,"Death"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular tachycardia",1,"Asymptomatic, no intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular tachycardia",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular tachycardia",3,"Symptomatic and incompletely controlled medically or controlled with device (e.g., defibrillator)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular tachycardia",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Ventricular arrhythmia","Ventricular tachycardia",5,"Death"
"CARDIAC GENERAL","Cardiac General - Other (Specify, __)",,1,"Mild"
"CARDIAC GENERAL","Cardiac General - Other (Specify, __)",,2,"Moderate"
"CARDIAC GENERAL","Cardiac General - Other (Specify, __)",,3,"Severe"
"CARDIAC GENERAL","Cardiac General - Other (Specify, __)",,4,"Life-threatening; disabling"
"CARDIAC GENERAL","Cardiac General - Other (Specify, __)",,5,"Death"
"CARDIAC GENERAL","Cardiac ischemia/infarction",,1,"Asymptomatic arterial narrowing without ischemia"
"CARDIAC GENERAL","Cardiac ischemia/infarction",,2,"Asymptomatic and testing suggesting ischemia; stable angina"
"CARDIAC GENERAL","Cardiac ischemia/infarction",,3,"Symptomatic and testing consistent with ischemia; unstable angina; intervention indicated"
"CARDIAC GENERAL","Cardiac ischemia/infarction",,4,"Acute myocardial infarction"
"CARDIAC GENERAL","Cardiac ischemia/infarction",,5,"Death"
"CARDIAC GENERAL","Cardiac troponin I (cTnI)",,3,"Levels consistent with unstable angina as defined by the manufacturer"
"CARDIAC GENERAL","Cardiac troponin I (cTnI)",,4,"Levels consistent with myocardial infarction as defined by the manufacturer"
"CARDIAC GENERAL","Cardiac troponin I (cTnI)",,5,"Death"
"CARDIAC GENERAL","Cardiac troponin T (cTnT)",,1,"0.03 - <0.05 ng/mL"
"CARDIAC GENERAL","Cardiac troponin T (cTnT)",,2,"0.05 - <0.1 ng/mL"
"CARDIAC GENERAL","Cardiac troponin T (cTnT)",,3,"0.1 - <0.2 ng/mL"
"CARDIAC GENERAL","Cardiac troponin T (cTnT)",,4,"0.2 ng/mL"
"CARDIAC GENERAL","Cardiac troponin T (cTnT)",,5,"Death"
"CARDIAC GENERAL","Cardiopulmonary arrest, cause unknown (non-fatal)",,4,"Life-threatening"
"CARDIAC GENERAL","Hypertension",,1,"Asymptomatic, transient (<24 hrs) increase by >20 mmHg (diastolic) or to >150/100 if previously WNL; intervention not indicated 

Pediatric: 
Asymptomatic, transient (<24 hrs) BP increase >ULN; intervention not indicated"
"CARDIAC GENERAL","Hypertension",,2,"Recurrent or persistent (>=24 hrs) or symptomatic increase by >20 mmHg (diastolic) or to >150/100 if previously WNL; monotherapy may be indicated 

Pediatric:
Recurrent or persistent (>=24 hrs) BP >ULN; monotherapy may be indicated"
"CARDIAC GENERAL","Hypertension",,3,"Requiring more than one drug or more intensive therapy than previously

Pediatric:
Same as adult"
"CARDIAC GENERAL","Hypertension",,4,"Life-threatening consequences (e.g., hypertensive crisis)

Pediatric:
Same as adult"
"CARDIAC GENERAL","Hypertension",,5,"Death"
"CARDIAC GENERAL","Hypotension",,1,"Changes, intervention not indicated"
"CARDIAC GENERAL","Hypotension",,2,"Brief (<24 hrs) fluid replacement or other therapy; no physiologic consequences"
"CARDIAC GENERAL","Hypotension",,3,"Sustained (>=24 hrs) therapy, resolves without persisting physiologic consequences"
"CARDIAC GENERAL","Hypotension",,4,"Shock (e.g., acidemia; impairment of vital organ function)"
"CARDIAC GENERAL","Hypotension",,5,"Death"
"CARDIAC GENERAL","Left ventricular diastolic dysfunction",,1,"Asymptomatic diagnostic finding; intervention not indicated"
"CARDIAC GENERAL","Left ventricular diastolic dysfunction",,2,"Asymptomatic, intervention indicated"
"CARDIAC GENERAL","Left ventricular diastolic dysfunction",,3,"Symptomatic CHF responsive to intervention"
"CARDIAC GENERAL","Left ventricular diastolic dysfunction",,4,"Refractory CHF, poorly controlled; intervention such as ventricular assist device or heart transplant indicated"
"CARDIAC GENERAL","Left ventricular diastolic dysfunction",,5,"Death"
"CARDIAC GENERAL","Left ventricular systolic dysfunction",,1,"Asymptomatic, resting ejection fraction (EF) <60 - 50%; shortening fraction (SF) <30 - 24%"
"CARDIAC GENERAL","Left ventricular systolic dysfunction",,2,"Asymptomatic, resting 
EF <50 - 40%;
SF <24 - 15%"
"CARDIAC GENERAL","Left ventricular systolic dysfunction",,3,"Symptomatic CHF responsive to intervention;
EF <40 - 20%
SF <15%"
"CARDIAC GENERAL","Left ventricular systolic dysfunction",,4,"Refractory CHF or poorly controlled; EF <20%; intervention such as ventricular assist device, ventricular reduction surgery, or heart transplant indicated"
"CARDIAC GENERAL","Left ventricular systolic dysfunction",,5,"Death"
"CARDIAC GENERAL","Myocarditis",,3,"CHF responsive to intervention"
"CARDIAC GENERAL","Myocarditis",,4,"Severe or refractory CHF"
"CARDIAC GENERAL","Myocarditis",,5,"Death"
"CARDIAC GENERAL","Pericardial effusion (non-malignant)",,1,"Asymptomatic effusion"
"CARDIAC GENERAL","Pericardial effusion (non-malignant)",,3,"Effusion with physiologic consequences"
"CARDIAC GENERAL","Pericardial effusion (non-malignant)",,4,"Life-threatening consequences (e.g., tamponade); emergency intervention indicated"
"CARDIAC GENERAL","Pericardial effusion (non-malignant)",,5,"Death"
"CARDIAC GENERAL","Pericarditis",,1,"Asymptomatic, ECG or physical exam (rub) changes consistent with pericarditis"
"CARDIAC GENERAL","Pericarditis",,2,"Symptomatic pericarditis (e.g., chest pain)"
"CARDIAC GENERAL","Pericarditis",,3,"Pericarditis with physiologic consequences (e.g., pericardial constriction)"
"CARDIAC GENERAL","Pericarditis",,4,"Life-threatening consequences; emergency intervention indicated"
"CARDIAC GENERAL","Pericarditis",,5,"Death"
"CARDIAC GENERAL","Pulmonary hypertension",,1,"Asymptomatic without therapy"
"CARDIAC GENERAL","Pulmonary hypertension",,2,"Asymptomatic, therapy indicated"
"CARDIAC GENERAL","Pulmonary hypertension",,3,"Symptomatic hypertension, responsive to therapy"
"CARDIAC GENERAL","Pulmonary hypertension",,4,"Symptomatic hypertension, poorly controlled"
"CARDIAC GENERAL","Pulmonary hypertension",,5,"Death"
"CARDIAC GENERAL","Restrictive cardiomyopathy",,1,"Asymptomatic, therapy not indicated"
"CARDIAC GENERAL","Restrictive cardiomyopathy",,2,"Asymptomatic, therapy indicated"
"CARDIAC GENERAL","Restrictive cardiomyopathy",,3,"Symptomatic CHF responsive to intervention"
"CARDIAC GENERAL","Restrictive cardiomyopathy",,4,"Refractory CHF, poorly controlled; intervention such as ventricular assist device, or heart transplant indicated"
"CARDIAC GENERAL","Restrictive cardiomyopathy",,5,"Death"
"CARDIAC GENERAL","Right ventricular dysfunction (cor pulmonale)",,1,"Asymptomatic without therapy"
"CARDIAC GENERAL","Right ventricular dysfunction (cor pulmonale)",,2,"Asymptomatic, therapy indicated"
"CARDIAC GENERAL","Right ventricular dysfunction (cor pulmonale)",,3,"Symptomatic cor pulmonale, responsive to intervention"
"CARDIAC GENERAL","Right ventricular dysfunction (cor pulmonale)",,4,"Symptomatic cor pulmonale poorly controlled; intervention such as ventricular assist device, or heart transplant indicated"
"CARDIAC GENERAL","Right ventricular dysfunction (cor pulmonale)",,5,"Death"
"CARDIAC GENERAL","Valvular heart disease",,1,"Asymptomatic valvular thickening with or without mild valvular regurgitation or stenosis; treatment other than endocarditis prophylaxis not indicated"
"CARDIAC GENERAL","Valvular heart disease",,2,"Asymptomatic; moderate regurgitation or stenosis by imaging"
"CARDIAC GENERAL","Valvular heart disease",,3,"Symptomatic; severe regurgitation or stenosis; symptoms controlled with medical therapy"
"CARDIAC GENERAL","Valvular heart disease",,4,"Life-threatening; disabling; intervention (e.g., valve replacement, valvuloplasty) indicated"
"CARDIAC GENERAL","Valvular heart disease",,5,"Death"
"COAGULATION","Coagulation - Other (Specify, __)",,1,"Mild"
"COAGULATION","Coagulation - Other (Specify, __)",,2,"Moderate"
"COAGULATION","Coagulation - Other (Specify, __)",,3,"Severe"
"COAGULATION","Coagulation - Other (Specify, __)",,4,"Life-threatening; disabling"
"COAGULATION","Coagulation - Other (Specify, __)",,5,"Death"
"COAGULATION","DIC (disseminated intravascular coagulation)",,2,"Laboratory findings with no bleeding"
"COAGULATION","DIC (disseminated intravascular coagulation)",,3,"Laboratory findings and bleeding"
"COAGULATION","DIC (disseminated intravascular coagulation)",,4,"Laboratory findings, life-threatening or disabling consequences (e.g., CNS hemorrhage, organ damage, or hemodynamically significant blood loss)"
"COAGULATION","DIC (disseminated intravascular coagulation)",,5,"Death"
"COAGULATION","Fibrinogen",,1,"<1.0 - 0.75 x LLN 
or <25% decrease from baseline"
"COAGULATION","Fibrinogen",,2,"<0.75 - 0.5 x LLN
or 25 - <50% decrease from baseline"
"COAGULATION","Fibrinogen",,3,"<0.5 - 0.25 x LLN
or 50 - <75% decrease from baseline"
"COAGULATION","Fibrinogen",,4,"<0.25 x LLN 
or 75% decrease from baseline or absolute value <50 mg/dL"
"COAGULATION","Fibrinogen",,5,"Death"
"COAGULATION","INR (International Normalized Ratio of prothrombin time)",,1,">1 - 1.5 x ULN"
"COAGULATION","INR (International Normalized Ratio of prothrombin time)",,2,">1.5 - 2 x ULN"
"COAGULATION","INR (International Normalized Ratio of prothrombin time)",,3,">2 x ULN"
"COAGULATION","PTT (Partial Thromboplastin Time)",,1,">1 - 1.5 x ULN"
"COAGULATION","PTT (Partial Thromboplastin Time)",,2,">1.5 - 2 x ULN"
"COAGULATION","PTT (Partial Thromboplastin Time)",,3,">2 x ULN"
"COAGULATION","Thrombotic microangiopathy (e.g., thrombotic thrombocytopenic purpura [TTP] or hemolytic uremic syndrome [HUS])",,1,"Evidence of RBC destruction (schistocytosis) without clinical consequences"
"COAGULATION","Thrombotic microangiopathy (e.g., thrombotic thrombocytopenic purpura [TTP] or hemolytic uremic syndrome [HUS])",,3,"Laboratory findings present with clinical consequences (e.g., renal insufficiency, petechiae)"
"COAGULATION","Thrombotic microangiopathy (e.g., thrombotic thrombocytopenic purpura [TTP] or hemolytic uremic syndrome [HUS])",,4,"Laboratory findings and life-threatening or disabling consequences, (e.g., CNS hemorrhage/bleeding or thrombosis/embolism or renal failure)"
"COAGULATION","Thrombotic microangiopathy (e.g., thrombotic thrombocytopenic purpura [TTP] or hemolytic uremic syndrome [HUS])",,5,"Death"
"CONSTITUTIONAL SYMPTOMS","Constitutional Symptoms - Other (Specify, __)",,1,"Mild"
"CONSTITUTIONAL SYMPTOMS","Constitutional Symptoms - Other (Specify, __)",,2,"Moderate"
"CONSTITUTIONAL SYMPTOMS","Constitutional Symptoms - Other (Specify, __)",,3,"Severe"
"CONSTITUTIONAL SYMPTOMS","Constitutional Symptoms - Other (Specify, __)",,4,"Life-threatening; disabling"
"CONSTITUTIONAL SYMPTOMS","Constitutional Symptoms - Other (Specify, __)",,5,"Death"
"CONSTITUTIONAL SYMPTOMS","Fatigue (asthenia, lethargy, malaise)",,1,"Mild fatigue over baseline"
"CONSTITUTIONAL SYMPTOMS","Fatigue (asthenia, lethargy, malaise)",,2,"Moderate or causing difficulty performing some ADL"
"CONSTITUTIONAL SYMPTOMS","Fatigue (asthenia, lethargy, malaise)",,3,"Severe fatigue interfering with ADL"
"CONSTITUTIONAL SYMPTOMS","Fatigue (asthenia, lethargy, malaise)",,4,"Disabling"
"CONSTITUTIONAL SYMPTOMS","Fever (in the absence of neutropenia, where neutropenia is defined as ANC <1.0 x 10e9/L)",,1,"38.0 - 39.0 degrees C 
(100.4 - 102.2 degrees F)"
"CONSTITUTIONAL SYMPTOMS","Fever (in the absence of neutropenia, where neutropenia is defined as ANC <1.0 x 10e9/L)",,2,">39.0 - 40.0 degrees C
(102.3 - 104.0 degrees F)"
"CONSTITUTIONAL SYMPTOMS","Fever (in the absence of neutropenia, where neutropenia is defined as ANC <1.0 x 10e9/L)",,3,">40.0 degrees C
(>104.0 degrees F) for <=24 hrs"
"CONSTITUTIONAL SYMPTOMS","Fever (in the absence of neutropenia, where neutropenia is defined as ANC <1.0 x 10e9/L)",,4,">40.0 degrees C
(>104.0 degrees F) for >24 hrs"
"CONSTITUTIONAL SYMPTOMS","Fever (in the absence of neutropenia, where neutropenia is defined as ANC <1.0 x 10e9/L)",,5,"Death"
"CONSTITUTIONAL SYMPTOMS","Hypothermia",,2,"35 - >32 degrees C
95 - >89.6 degrees F"
"CONSTITUTIONAL SYMPTOMS","Hypothermia",,3,"32 - >28 degrees C 
89.6 - >82.4 degrees F"
"CONSTITUTIONAL SYMPTOMS","Hypothermia",,4,"<=28 degrees C 
82.4 degrees F or life-threatening consequences (e.g., coma, hypotension, pulmonary edema, acidemia, ventricular fibrillation)"
"CONSTITUTIONAL SYMPTOMS","Hypothermia",,5,"Death"
"CONSTITUTIONAL SYMPTOMS","Insomnia",,1,"Occasional difficulty sleeping, not interfering with function"
"CONSTITUTIONAL SYMPTOMS","Insomnia",,2,"Difficulty sleeping, interfering with function but not interfering with ADL"
